Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
New Zealand,Haiti,2017,Exports & Imports,2,34,0.05,0.8,-18.88,468,486.88,0,0,0.01,0.01,88,2.27,97.73,0,0,5,0,0,11.04,475.84,7.77,9.72,88,84.09,15.91,0,0,10,0,0,479.87,7.01,1
New Zealand,Hungary,2017,Exports & Imports,99,811,2.59,19.05,-57439.84,3267.83,60707.67,0.15,0.01,3.28,3.24,1515,56.9,41.65,1.45,0,10,0,912.41,43144.07,17103.67,3.28,3.24,1515,56.9,41.65,1.45,0,10,0,912.41,43144.07,17103.67,
New Zealand,Indonesia,2017,Exports & Imports,457,1490,11.96,34.99,76526.32,684053.64,607527.32,1.51,1.8,0.72,0.81,2653,8.52,91.48,0,0,10,0,0,122909.5,425470.94,3.53,2.22,2653,55.75,43.42,0.68,0.15,200.68,0,1022.26,239882.58,308497.86,2
New Zealand,India,2017,Exports & Imports,600,2323,15.7,54.56,43742.84,482442.89,438700.05,1.09,1.27,2.73,2.94,3821,47.95,51.27,0.63,0.16,200.68,0,2579.35,248135.29,179093.95,2.86,3.05,3821,50.14,49.07,0.63,0.16,200.68,0,2579.35,252164.42,175064.83,1
New Zealand,British Indian Ocean Ter.,2017,Exports & Imports,,6,,0.14,,,2.47,0,,4.17,2.41,9,55.56,44.44,0,0,10,0,0,0.65,1.82,4.17,2.41,9,55.56,44.44,0,0,10,0,0,0.65,1.82,1
New Zealand,Ireland,2017,Exports & Imports,300,716,7.85,16.82,-125360.12,40965.35,166325.46,0.41,0.11,2.95,1.78,1449,52.86,45.62,1.24,0.28,10,0,1193.98,63218.61,90800.21,2.95,1.78,1449,52.86,45.62,1.24,0.28,10,0,1193.98,63218.61,90800.21,
New Zealand,"Iran, Islamic Rep.",2017,Exports & Imports,55,224,1.44,5.26,81266.77,86091.19,4824.42,0.01,0.23,2.97,1.46,477,52.62,46.54,0.84,0,10,0,6.23,1590.02,3221.07,3.09,1.49,477,53.46,45.7,0.84,0,10,0,6.23,1608.36,3202.73,1
New Zealand,Iraq,2017,Exports & Imports,37,1,0.97,0.02,5073.83,5073.99,0.16,0,0.01,0,0,3,0,100,0,0,0,0,0,0,0.16,0,0,3,0,100,0,0,0,0,0,0,0.16,1
New Zealand,Iceland,2017,Exports & Imports,59,132,1.54,3.1,149.5,1944.98,1795.48,0,0.01,3.04,2.11,300,52,44.67,2.67,0.67,10,0,3.62,855.1,939.07,3.04,2.11,300,52,44.67,2.67,0.67,10,0,3.62,855.1,939.07,
New Zealand,Israel,2017,Exports & Imports,198,705,5.18,16.56,-101291.36,19850.85,121142.21,0.3,0.05,3.06,1.83,1356,54.72,44.32,0.81,0.15,200.68,0,160.69,61557.49,55756.43,3.06,1.83,1356,54.72,44.32,0.81,0.15,200.68,0,160.69,61557.49,55756.43,
New Zealand,Italy,2017,Exports & Imports,566,2456,14.81,57.68,-573370.64,254085.08,827455.72,2.06,0.67,3.07,3.48,4151,53.1,46.16,0.6,0.14,200.68,0,16622.86,587099.04,184095.2,3.07,3.48,4151,53.1,46.16,0.6,0.14,200.68,0,16622.86,587099.04,184095.2,
New Zealand,Jamaica,2017,Exports & Imports,55,17,1.44,0.4,18574.09,23859.29,5285.2,0.01,0.06,2.19,0.08,50,30,70,0,0,10,0,0,98.93,5186.27,2.38,0.09,50,34,66,0,0,10,0,0,98.93,5186.27,1
New Zealand,Jordan,2017,Exports & Imports,79,147,2.07,3.45,65772.5,68039.04,2266.53,0.01,0.18,4.62,6.13,329,57.45,41.34,1.22,0,10,0,0.55,1565.94,686.89,4.71,6.17,329,58.66,40.12,1.22,0,10,0,0.55,1575.83,677,1
New Zealand,Japan,2017,Exports & Imports,1053,2224,27.56,52.23,-685179.58,2275543.96,2960723.53,7.38,5.98,2.78,4.72,3764,50.4,48.83,0.61,0.16,200.68,0,19374.46,2465745.41,381323.18,2.78,4.72,3764,50.4,48.83,0.61,0.16,200.68,0,19374.46,2465745.41,381323.18,
New Zealand,Kazakhstan,2017,Exports & Imports,27,4,0.71,0.09,805,1721.06,916.06,0,0,0.63,0.01,5,20,80,0,0,5,0,0,4.15,911.92,0.63,0.01,5,20,80,0,0,5,0,0,4.15,911.92,
New Zealand,Kenya,2017,Exports & Imports,103,64,2.7,1.5,4729.5,7693.04,2963.54,0.01,0.02,4.42,0.26,118,64.41,35.59,0,0,10,0,0,156.79,2457.81,4.51,0.27,118,66.1,33.9,0,0,10,0,0,156.79,2457.81,1
New Zealand,Kyrgyz Republic,2017,Exports & Imports,5,8,0.13,0.19,-85.38,29.09,114.48,0,0,3.22,0.04,27,66.67,33.33,0,0,10,0,0,0.9,113.57,3.22,0.04,27,66.67,33.33,0,0,10,0,0,0.9,113.57,
New Zealand,Cambodia,2017,Exports & Imports,88,273,2.3,6.41,-14368.31,6124.09,20492.4,0.05,0.02,0,0,515,0,100,0,0,0,0,0,0,20490.81,6.76,8.38,515,73.4,26.21,0.39,0,10,0,1.68,19834.8,656.01,2
New Zealand,Kiribati,2017,Exports & Imports,692,5,18.11,0.12,11556.04,11565.27,9.23,0,0.03,0,0,5,0,100,0,0,0,0,0,0,9.23,4,1.23,5,80,20,0,0,5,0,0,2.28,6.95,2
New Zealand,St. Kitts and Nevis,2017,Exports & Imports,3,1,0.08,0.02,49.45,50.05,0.6,0,0,7.5,7.5,2,100,0,0,0,10,5,0,0.6,0,7.5,7.5,2,100,0,0,0,10,5,0,0.6,0,1
New Zealand,"Korea, Rep.",2017,Exports & Imports,626,2100,16.38,49.32,-361352.87,1059761.89,1421114.76,3.54,2.79,0.44,0.08,3652,9.86,89.51,0.63,0,7.5,0,15608.11,499607.89,839210.01,2.94,4.13,3652,52.98,46.33,0.63,0.05,200.68,0,15608.11,1146047.89,192770.01,1
New Zealand,Kuwait,2017,Exports & Imports,156,10,4.08,0.23,63107.87,86975.07,23867.2,0.06,0.23,2.22,0.03,13,46.15,53.85,0,0,5,0,0,160.67,23706.52,2.22,0.03,13,46.15,53.85,0,0,5,0,0,160.67,23706.52,
New Zealand,Lao PDR,2017,Exports & Imports,76,27,1.99,0.63,-873.17,1094.46,1967.63,0,0,0,0,56,0,100,0,0,0,0,0,0,1967.63,5.93,0.35,56,60.71,39.29,0,0,10,0,0,485.72,1481.91,2
New Zealand,Lebanon,2017,Exports & Imports,83,114,2.17,2.68,9286.41,10495.73,1209.32,0,0.03,2.39,1.78,293,49.83,49.83,0.34,0,10,0,0.79,521.97,687.19,2.64,2.8,293,52.22,47.44,0.34,0,10,0,0.79,764.94,444.23,1
New Zealand,Liberia,2017,Exports & Imports,13,2,0.34,0.05,-6446.7,584.47,7031.17,0.02,0,0,0,12,0,83.33,16.67,0,0,0,4.04,4.04,7027.13,2.92,3.33,12,50,33.33,16.67,0,5,0,4.04,7031.17,0,1
New Zealand,Libya,2017,Exports & Imports,6,2,0.16,0.05,30302.09,30302.16,0.07,0,0.08,2.5,2.5,4,50,50,0,0,5,0,0,0.07,0,2.5,2.5,4,50,50,0,0,5,0,0,0.07,0,1
New Zealand,St. Lucia,2017,Exports & Imports,16,10,0.42,0.23,3269.69,3277.14,7.45,0,0.01,4.62,4.43,18,66.67,33.33,0,0,10,0,0,7.45,0,4.62,4.43,18,66.67,33.33,0,0,10,0,0,7.45,0,1
New Zealand,Latin America & Caribbean,2017,Exports & Imports,892,1662,23.34,39.03,46346.58,838536.96,792190.38,1.97,2.2,3.13,1.36,8380,48.21,50.72,0.98,0.1,10,0,2096.56,248565.56,532932.8,3.06,1.62,3004,53.89,45.27,0.25,0.05,10,0,2137.29,294858.09,486640.28,33
New Zealand,Sri Lanka,2017,Exports & Imports,235,527,6.15,12.38,240698.22,285350.68,44652.46,0.11,0.75,4.42,2.56,1000,61.7,37.9,0.4,0,10,0,30.22,18401.06,23701.71,4.53,2.61,1000,63.7,35.9,0.4,0,10,0,30.22,18464.66,23638.12,1
New Zealand,Lesotho,2017,Exports & Imports,,14,,0.33,,,659.91,0,,0,0,22,0,100,0,0,0,0,0,0,659.91,8.93,1.05,22,95.45,4.55,0,0,10,0,0,69.31,590.6,1
New Zealand,Lithuania,2017,Exports & Imports,54,537,1.41,12.61,-34379.86,12545.42,46925.28,0.12,0.03,3.92,1.56,1060,60.38,38.21,1.23,0.19,10,0,865.91,14486.9,32287.39,3.92,1.56,1060,60.38,38.21,1.23,0.19,10,0,865.91,14486.9,32287.39,
New Zealand,Luxembourg,2017,Exports & Imports,16,127,0.42,2.98,-3931.45,1566.11,5497.56,0.01,0,3.11,3.77,308,58.44,39.94,1.62,0,10,0,1.93,4851.49,414.81,3.11,3.77,308,58.44,39.94,1.62,0,10,0,1.93,4851.49,414.81,
New Zealand,Latvia,2017,Exports & Imports,40,275,1.05,6.46,2073.64,10011.71,7938.07,0.02,0.03,3.75,2.19,617,59.32,38.9,1.46,0.32,10,0,153.1,3890.75,1826.08,3.75,2.19,617,59.32,38.9,1.46,0.32,10,0,153.1,3890.75,1826.08,
New Zealand,Macao,2017,Exports & Imports,129,83,3.38,1.95,18466.73,18867.08,400.35,0,0.05,4.36,2.52,144,58.33,40.97,0.69,0,10,0,0.16,195.75,203.76,4.36,2.52,144,58.33,40.97,0.69,0,10,0,0.16,195.75,203.76,
New Zealand,Morocco,2017,Exports & Imports,25,301,0.65,7.07,3573.25,56337.59,52764.34,0.13,0.15,5.47,0.45,641,64.9,34.48,0.62,0,10,0,0.19,3011.67,49740.23,5.53,0.45,641,67.08,32.29,0.62,0,10,0,0.19,3089.89,49662.01,1
New Zealand,Moldova,2017,Exports & Imports,4,63,0.1,1.48,-145.23,90.67,235.9,0,0,8.64,8.32,117,82.05,16.24,0,1.71,10,0,0,235.9,0,8.64,8.32,117,82.05,16.24,0,1.71,10,0,0,235.9,0,
New Zealand,Madagascar,2017,Exports & Imports,10,81,0.26,1.9,978.47,2321.17,1342.7,0,0.01,0,0,125,0,100,0,0,0,0,0,0,1342.7,7.71,5.82,125,80.8,19.2,0,0,10,0,0,888.51,454.2,1
New Zealand,Maldives,2017,Exports & Imports,248,4,6.49,0.09,21720.47,21723.35,2.88,0,0.06,0,0,3,0,100,0,0,0,0,0,0,1.63,3.33,0.54,3,66.67,33.33,0,0,5,0,0,0.18,1.45,1
New Zealand,Middle East & North Africa,2017,Exports & Imports,917,1494,24,35.09,98102.4,2121317.32,2023214.92,5.04,5.58,3.8,0.27,6325,58.45,40.74,0.77,0.03,200.68,0,241.04,131241.45,1883369.55,3.39,0.27,2647,56.03,43.26,0.27,0.03,200.68,0,241.04,131627.14,1882983.86,14
New Zealand,Mexico,2017,Exports & Imports,191,1123,5,26.37,17236.82,255619.54,238382.72,0.59,0.67,3.13,2.49,2112,54.26,44.65,0.99,0.09,10,0,1723.76,146971.77,90158.87,3.26,2.52,2112,56.82,42.09,0.99,0.09,10,0,1723.76,147532.96,89597.67,1
New Zealand,Marshall Islands,2017,Exports & Imports,230,8,6.02,0.19,4068.13,4112.71,44.59,0,0.01,0,0,26,0,100,0,0,0,0,0,0,15.94,1.17,1.06,26,34.62,65.38,0,0,5,0,0,7.41,8.53,1
New Zealand,"Macedonia, FYR",2017,Exports & Imports,3,102,0.08,2.4,-450.62,47.67,498.29,0,0,5.25,5.9,223,63.68,36.32,0,0,10,0,0,426.82,50.4,5.38,6.08,223,65.47,34.53,0,0,10,0,0,447.08,30.13,1
New Zealand,Mali,2017,Exports & Imports,12,10,0.31,0.23,7692.82,7740.14,47.32,0,0.02,0,0,29,0,100,0,0,0,0,0,0,47.32,0.83,0.13,29,24.14,68.97,0,6.9,5,0,0,2.76,44.56,1
New Zealand,Malta,2017,Exports & Imports,54,137,1.41,3.22,1799.28,3892.69,2093.4,0.01,0.01,2.95,1.33,328,57.32,42.07,0.61,0,10,0,0.44,580.83,1512.57,2.95,1.33,328,57.32,42.07,0.61,0,10,0,0.44,580.83,1512.57,
New Zealand,Myanmar,2017,Exports & Imports,65,184,1.7,4.32,25221.02,28968.37,3747.36,0.01,0.08,0,0,340,0,100,0,0,0,0,0,0,3708.54,6.7,4.44,340,77.35,22.65,0,0,10,0,0,2765.83,942.71,2
New Zealand,Mongolia,2017,Exports & Imports,153,18,4,0.42,6064.92,6106.21,41.29,0,0.02,3.29,2.4,31,41.94,51.61,6.45,0,10,0,0.05,17.66,23.63,3.42,2.53,31,45.16,48.39,6.45,0,10,0,0.05,19.72,21.57,1
New Zealand,Northern Mariana Islands,2017,Exports & Imports,24,3,0.63,0.07,3438.4,3447.72,9.33,0,0.01,3.17,2.55,8,50,50,0,0,5,0,0,9.33,0,3.17,2.55,8,50,50,0,0,5,0,0,9.33,0,
New Zealand,Montenegro,2017,Exports & Imports,7,28,0.18,0.66,-28.59,5.15,33.74,0,0,3.25,5.67,73,63.01,34.25,2.74,0,10,0,2.26,30.98,2.76,3.25,5.67,73,63.01,34.25,2.74,0,10,0,2.26,30.98,2.76,
New Zealand,Mozambique,2017,Exports & Imports,11,31,0.29,0.73,4805.84,5383.66,577.82,0,0.01,0,0,90,0,100,0,0,0,0,0,0,577.82,2.92,0.17,90,52.22,47.78,0,0,10,0,0,31.97,545.85,1
New Zealand,Mauritania,2017,Exports & Imports,25,14,0.65,0.33,578.19,598.93,20.74,0,0,0,0,38,0,100,0,0,0,0,0,0,19.75,4.61,9.51,38,55.26,44.74,0,0,10,0,0,19.46,0.29,1
New Zealand,Montserrat,2017,Exports & Imports,,10,,0.23,,,19.96,0,,3.29,1.29,21,38.1,61.9,0,0,10,0,0,7.03,12.93,3.54,1.32,21,47.62,52.38,0,0,10,0,0,7.03,12.93,1
New Zealand,Mauritius,2017,Exports & Imports,97,117,2.54,2.75,48502.15,53318.69,4816.54,0.01,0.14,6.71,2.7,193,67.88,31.61,0.52,0,10,0,1.55,1552.79,3263.75,6.76,2.71,193,68.39,31.09,0.52,0,10,0,1.55,1556.67,3259.87,1
New Zealand,Malawi,2017,Exports & Imports,4,10,0.1,0.23,-179.81,21.44,201.25,0,0,0,0,16,0,100,0,0,0,0,0,0,201.25,2,0.3,16,25,75,0,0,10,0,0,12.26,189,1
New Zealand,Malaysia,2017,Exports & Imports,770,1540,20.15,36.17,-533427.99,721972.55,1255400.54,3.13,1.9,0,0,2755,0,100,0,0,0,0,0,19032.67,1227987.54,2.94,1.04,2755,54.41,44.79,0.8,0,10,0,2821.7,348445.18,898575.03,3
New Zealand,North America,2017,Exports & Imports,1934,3553,50.62,83.44,-472640.17,4270239.79,4742879.96,11.82,11.22,1.75,2.01,8379,33.43,65.84,0.61,0.12,200.68,0,49988.51,2115810.57,2474105.57,2.42,2.16,5606,46.31,53.1,0.32,0.07,200.68,0,49988.51,2258884.27,2331031.88,1
New Zealand,Namibia,2017,Exports & Imports,27,34,0.71,0.8,-7481.96,1242.81,8724.77,0.02,0,1.83,2.93,64,39.06,60.94,0,0,10,0,0,7662.64,1062.13,1.98,2.93,64,42.19,57.81,0,0,10,0,0,7663.57,1061.19,1
New Zealand,New Caledonia,2017,Exports & Imports,1260,74,32.98,1.74,99053.66,101156.94,2103.28,0.01,0.27,2.46,1.31,175,45.14,54.86,0,0,10,0,0,654.84,1397.32,2.46,1.31,175,45.14,54.86,0,0,10,0,0,654.84,1397.32,
New Zealand,Niger,2017,Exports & Imports,4,33,0.1,0.78,-180.35,10.81,191.17,0,0,0.01,0,95,1.05,98.95,0,0,5,0,0,3.5,187.67,3.92,1.99,95,53.68,46.32,0,0,10,0,0,98.92,92.25,1
New Zealand,Norfolk Island,2017,Exports & Imports,728,5,19.05,0.12,6173.36,6183.29,9.94,0,0.02,0,0,5,0,100,0,0,0,0,0,0,9.94,0,0,5,0,100,0,0,0,0,0,0,9.94,1
New Zealand,Nigeria,2017,Exports & Imports,64,37,1.68,0.87,170143.77,172443.83,2300.06,0.01,0.45,2.64,0.02,76,44.74,55.26,0,0,10,0,0,9.69,2290.37,2.77,0.02,76,47.37,52.63,0,0,10,0,0,9.69,2290.37,1
New Zealand,Nicaragua,2017,Exports & Imports,38,49,0.99,1.15,19758.61,21373.19,1614.58,0,0.06,5.81,4.02,101,68.32,28.71,2.97,0,10,0,2.6,770.25,842.76,5.81,4.02,101,68.32,28.71,2.97,0,10,0,2.6,770.25,842.76,1
New Zealand,Niue,2017,Exports & Imports,1003,17,26.25,0.4,12457.14,12630.53,173.4,0,0.03,0,0,52,0,100,0,0,0,0,0,0,173.4,2.52,4.22,52,61.54,36.54,1.92,0,10,0,4.58,154.59,18.81,1
New Zealand,Netherlands,2017,Exports & Imports,683,1867,17.87,43.85,194750.74,620274.57,425523.83,1.06,1.63,2.84,2.47,3265,52.07,47.14,0.67,0.12,10,0,3522.81,256583.46,162039.29,2.84,2.47,3265,52.07,47.14,0.67,0.12,10,0,3522.81,256583.46,162039.29,
New Zealand,Norway,2017,Exports & Imports,257,466,6.73,10.94,-9377.85,29413.84,38791.69,0.1,0.08,2.73,1.6,962,52.81,45.43,1.77,0,10,0,270.53,17007.35,21216.92,2.73,1.6,962,52.81,45.43,1.77,0,10,0,270.53,17007.35,21216.92,
New Zealand,Nepal,2017,Exports & Imports,41,214,1.07,5.03,4768.75,5615.8,847.05,0,0.01,0.04,0.02,380,1.32,98.42,0.26,0,5,0,5.15,12.92,833.49,5.92,7.75,380,71.58,28.16,0.26,0,10,0,5.15,789.84,56.58,1
New Zealand,Nauru,2017,Exports & Imports,166,8,4.34,0.19,-372.99,1893.41,2266.4,0.01,0.01,0,0,14,0,100,0,0,0,0,0,0,2266.4,2.19,0,14,42.86,42.86,14.29,0,5,0,3.29,3.49,2262.91,1
New Zealand,New Zealand,2017,Exports & Imports,,1414,,33.21,,,137575.51,0.34,,0,0,2595,0,100,0,0,0,0,0,11.89,135726.98,3.47,1.75,2595,56.96,42.16,0.73,0.15,10,0,487.3,56275.89,79462.98,2
New Zealand,"Other Asia, nes",2017,Exports & Imports,596,2030,15.6,47.67,220096.22,800959.4,580863.18,1.45,2.11,0.01,0.03,3553,0.7,99.3,0,0,2.5,0,0,17327.94,541251.82,2.92,2.44,3553,54.07,45.26,0.68,0,10,0,3728.13,352468.65,206111.11,1
New Zealand,Oman,2017,Exports & Imports,118,23,3.09,0.54,36677.36,59491.12,22813.76,0.06,0.16,2.54,0.17,58,50,50,0,0,10,0,0,793.96,22019.8,2.6,0.17,58,51.72,48.28,0,0,10,0,0,793.96,22019.8,1
New Zealand,Pakistan,2017,Exports & Imports,170,600,4.45,14.09,42994.09,93695.67,50701.58,0.13,0.25,4.19,3.88,1161,60.12,39.1,0.78,0,10,0,280.62,32377.91,18313.68,4.28,3.9,1161,61.93,37.3,0.78,0,10,0,280.62,32442.73,18248.86,1
New Zealand,Panama,2017,Exports & Imports,104,30,2.72,0.7,31125.31,32475.82,1350.51,0,0.09,2.89,1.05,76,47.37,51.32,1.32,0,10,0,0,193.19,1157.32,2.92,1.05,76,50,48.68,1.32,0,10,0,0,193.19,1157.32,1
New Zealand,Pitcairn,2017,Exports & Imports,88,43,2.3,1.01,1055.86,1069.22,13.36,0,0,4.08,4.9,98,60.2,39.8,0,0,10,0,0,12.72,0.56,4.22,4.9,98,61.22,38.78,0,0,10,0,0,12.73,0.55,1
New Zealand,Peru,2017,Exports & Imports,140,213,3.66,5,52134.36,83683.99,31549.63,0.08,0.22,4.04,1.47,456,52.85,47.15,0,0,10,0,0,14820.06,14468.68,4.16,1.6,456,55.04,44.96,0,0,10,0,0,15590.26,13698.47,1
New Zealand,Philippines,2017,Exports & Imports,530,886,13.87,20.81,411267.06,499968.31,88701.25,0.22,1.31,0.75,0.48,1731,8.55,91.45,0,0,10,0,0,12376.09,68666.38,3.41,1.98,1731,57.08,41.65,1.16,0.12,10,0,1568.43,40915.53,40126.94,2
New Zealand,Palau,2017,Exports & Imports,269,2,7.04,0.05,761.58,766.99,5.41,0,0,0,0,2,0,100,0,0,0,0,0,0,5.41,0,0,2,0,100,0,0,0,0,0,0,5.41,1
New Zealand,Papua New Guinea,2017,Exports & Imports,1181,49,30.91,1.15,126585.97,133276.35,6690.38,0.02,0.35,0,0,111,0,100,0,0,0,0,0,0,6622.78,2.02,0.3,111,51.35,47.75,0.9,0,10,0,0.03,831.49,5791.29,2
New Zealand,Poland,2017,Exports & Imports,186,1134,4.87,26.63,-78434.52,40153.5,118588.01,0.3,0.11,3.67,3.07,2107,58.76,40.15,0.9,0.19,200.68,0,673.81,82125.89,34191.04,3.67,3.07,2107,58.76,40.15,0.9,0.19,200.68,0,673.81,82125.89,34191.04,
New Zealand,Portugal,2017,Exports & Imports,90,744,2.36,17.47,1697.96,32023.12,30325.15,0.08,0.08,4.41,4.38,1460,62.47,36.71,0.82,0,10,0,83.14,23019.62,6518.91,4.41,4.38,1460,62.47,36.71,0.82,0,10,0,83.14,23019.62,6518.91,
New Zealand,Paraguay,2017,Exports & Imports,41,20,1.07,0.47,455.3,765.59,310.29,0,0,2.8,0.2,39,48.72,51.28,0,0,10,0,0,12.68,297.61,2.93,0.2,39,51.28,48.72,0,0,10,0,0,12.68,297.61,1
New Zealand,Occ.Pal.Terr,2017,Exports & Imports,3,1,0.08,0.02,11.81,11.85,0.04,0,0,2.5,2.5,2,50,50,0,0,5,0,0,0.04,0,2.5,2.5,2,50,50,0,0,5,0,0,0.04,0,
New Zealand,French Polynesia,2017,Exports & Imports,1304,88,34.13,2.07,122224.07,124249.52,2025.45,0.01,0.33,2.39,1.02,205,38.05,60,0,1.95,10,0,0,519.1,1455.56,2.39,1.02,205,38.05,60,0,1.95,10,0,0,519.1,1455.56,
New Zealand,Qatar,2017,Exports & Imports,204,61,5.34,1.43,-75065.79,27056.84,102122.64,0.25,0.07,3.09,0,118,59.32,37.29,3.39,0,10,0,7.47,31.66,102090.97,3.09,0,118,59.32,37.29,3.39,0,10,0,7.47,31.66,102090.97,
New Zealand,Romania,2017,Exports & Imports,55,593,1.44,13.93,-23365.52,3806.64,27172.16,0.07,0.01,4.2,2.95,1215,60.74,37.61,1.65,0,10,0,319.47,15900.43,10716.32,4.3,2.97,1215,63.13,35.23,1.65,0,10,0,319.47,15906.32,10710.43,1
New Zealand,Russian Federation,2017,Exports & Imports,171,426,4.48,10,-65747.01,154856.35,220603.36,0.55,0.41,3.71,0.08,897,58.42,39.8,1.34,0.45,200.68,0,315.13,4001.12,214723.66,3.71,0.08,897,58.42,39.8,1.34,0.45,200.68,0,315.13,4001.12,214723.66,
New Zealand,Rwanda,2017,Exports & Imports,3,6,0.08,0.14,-200.37,226.14,426.51,0,0,0,0,7,0,100,0,0,0,0,0,0,426.51,1.25,0,7,28.57,71.43,0,0,5,0,0,0.65,425.86,1
New Zealand,South Asia,2017,Exports & Imports,884,2410,23.14,56.6,497849.2,1109694.95,611845.75,1.52,2.92,2.75,2.61,7179,43.99,55.38,0.54,0.08,200.68,0,2895.34,298950.04,298857.3,2.85,3.91,3980,49.77,49.47,0.33,0.08,200.68,0,2895.34,378243.17,219564.17,8
New Zealand,Saudi Arabia,2017,Exports & Imports,254,97,6.65,2.28,155571.56,408235.71,252664.14,0.63,1.07,2.23,0.1,197,51.27,47.21,1.52,0,10,0,5.28,8760.84,242300.63,2.33,0.12,197,51.78,46.7,1.52,0,10,0,5.28,8760.84,242300.63,1
New Zealand,Senegal,2017,Exports & Imports,17,6,0.44,0.14,9156.07,9195.25,39.18,0,0.02,0,0,8,0,100,0,0,0,0,0,0,39.18,2.5,4.04,8,62.5,37.5,0,0,5,0,0,31.7,7.49,1
New Zealand,"Serbia, FR(Serbia/Montenegro)",2017,Exports & Imports,39,182,1.02,4.27,-1301.21,1100.1,2401.31,0.01,0,5.11,2.74,399,60.15,37.84,1.5,0.5,200.68,0,233.3,1889.56,478.77,5.11,2.74,399,60.15,37.84,1.5,0.5,200.68,0,233.3,1889.56,478.77,
New Zealand,Singapore,2017,Exports & Imports,1193,1326,31.22,31.14,-561495.93,810018.12,1371514.05,3.42,2.13,0,0,2389,0,100,0,0,0,0,0,812702.21,555839.86,2.66,1.81,2389,51.32,47.63,0.88,0.17,10,0,1916.62,1092700.14,275841.92,3
New Zealand,South Georgia and the South Sa,2017,Exports & Imports,,4,,0.09,,,59.1,0,,1.25,0.03,7,42.86,57.14,0,0,10,0,0,0.35,58.75,1.25,0.03,7,42.86,57.14,0,0,10,0,0,0.35,58.75,
New Zealand,Saint Helena,2017,Exports & Imports,,7,,0.16,,,34.58,0,,1.24,0.26,34,35.29,61.76,2.94,0,10,0,0.06,3.41,31.16,1.32,0.26,34,41.18,55.88,2.94,0,10,0,0.06,3.41,31.16,1
New Zealand,Solomon Islands,2017,Exports & Imports,862,24,22.56,0.56,22251.74,28138.65,5886.92,0.01,0.07,0,0,51,0,100,0,0,0,0,0,0,5886.8,2.16,1.56,51,43.14,54.9,1.96,0,10,0,1.27,5258.58,628.22,2
New Zealand,Sierra Leone,2017,Exports & Imports,5,111,0.13,2.61,3110.71,3600.78,490.07,0,0.01,0.09,0.02,288,3.47,94.1,2.43,0,5,0,9.25,16.15,473.78,3.98,3,288,63.54,34.03,2.43,0,10,0,9.25,426,63.93,1
New Zealand,El Salvador,2017,Exports & Imports,20,102,0.52,2.4,4534.79,6269.05,1734.26,0,0.02,5.59,3.62,236,61.02,37.29,1.69,0,10,0,0.18,823.92,890.74,5.63,3.62,236,63.56,34.75,1.69,0,10,0,0.18,823.92,890.74,1
New Zealand,San Marino,2017,Exports & Imports,4,8,0.1,0.19,1.17,7.89,6.72,0,0,3.96,4.88,14,71.43,21.43,7.14,0,5,0,1.59,6.63,0.09,3.96,4.88,14,71.43,21.43,7.14,0,5,0,1.59,6.63,0.09,
New Zealand,Somalia,2017,Exports & Imports,5,28,0.13,0.66,3217.93,3245.64,27.71,0,0.01,0.19,0.1,64,4.69,95.31,0,0,5,0,0,1.25,26.46,3.47,1.47,64,59.38,40.63,0,0,10,0,0,13.51,14.2,1
New Zealand,Saint Pierre and Miquelon,2017,Exports & Imports,,2,,0.05,,,2.96,0,,0,0,5,0,100,0,0,0,0,0,0,2.96,0,0,5,0,100,0,0,0,0,0,0,2.96,
New Zealand,South Sudan,2017,Exports & Imports,11,5,0.29,0.12,12.83,16.27,3.44,0,0,2.22,0.5,30,53.33,36.67,10,0,10,0,0.39,0.56,2.88,2.22,0.5,30,53.33,36.67,10,0,10,0,0.39,0.56,2.88,
New Zealand,Sub-Saharan Africa,2017,Exports & Imports,767,1322,20.07,31.05,380574.93,533244.46,152669.53,0.38,1.4,2.72,2.7,4510,42.44,56.7,0.86,0,10,0,270.56,77538.07,72540.09,3.33,2.94,2510,56.41,42.71,0.44,0.04,10,0,270.56,86576.74,63501.42,46
New Zealand,Sao Tome and Principe,2017,Exports & Imports,,1,,0.02,,,0.73,0,,0,0,1,0,100,0,0,0,0,0,0,0.73,5,5,1,100,0,0,0,5,5,0,0.73,0,1
